SERMON_SLUG,CITATION_RAW,CITATION,BOOK_SLUG,CHAPTER,VERSE,API_URL
1565-alber-eine-summa-etlicher,Psal. 10,Ps 10,psalms,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/10.json
1565-alber-eine-summa-etlicher,Rom. 8,Rom 8,romans,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/8.json
1566-rorer-eine-predigt-von,Hiob am 37,Job 37,job,37,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/37.json
1566-rorer-eine-predigt-von,Hiob am 1,Job 1,job,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/1.json
1566-rorer-eine-predigt-von,Deut. am 18,Deuteronomy 18,deuteronomy,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/18.json
1566-rorer-eine-predigt-von,Hiob 38,Job 38,job,38,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/38.json
1566-rorer-eine-predigt-von,Exodi am 9,Exodus 9,exodus,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/exodus/chapters/9.json
1566-rorer-eine-predigt-von,Exodi 20,Exodus 20,exodus,20,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/exodus/chapters/20.json
1566-rorer-eine-predigt-von,Matth. 22,Matt 22,matthew,22,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/22.json
1566-rorer-eine-predigt-von,Hiob am 36,Job 36,job,36,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/36.json
1566-rorer-eine-predigt-von,7. Psal,Ps 7,psalms,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/7.json
1566-rorer-eine-predigt-von,Mose im 9,Genesis 9,genesis,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/genesis/chapters/9.json
1566-rorer-eine-predigt-von,Deut. 28,Deuteronomy 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28.json
1566-rorer-eine-predigt-von,Amos am 2,Amos 2,amos,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/2.json
1566-rorer-eine-predigt-von,der 50. Psalm,Ps 50,psalms,50,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/50.json
1566-rorer-eine-predigt-von,Johan 9,John 9,john,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/9.json
