SERMON_SLUG,JSON_FILE,WEATHER_PHENOMENON
1658-tappe-der-mensch-weiss,1658_Tappe_Der_Mensch_weiß_seine_Zeit_nicht__LeichPredigt.json,Wetter
1658-tappe-der-mensch-weiss,1658_Tappe_Der_Mensch_weiß_seine_Zeit_nicht__LeichPredigt.json,Regen/Blutregen/Regenbogen
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Wetter
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Witterung/Gewitter
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Wind
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Winter
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Regen/Blutregen/Regenbogen
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Eis
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Hagel
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Sturm
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Dampf
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Sommer
1664-heland-est-visa-dei,"1664_Heland_Est_Visa_Dei_Gloria,_In_Fulgurita_Curia.json",Wasser
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Wetter
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Witterung/Gewitter
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Wind
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Winter
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Regen/Blutregen/Regenbogen
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Kälte
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Schnee
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Hagel
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Hitze
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Sturm
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Dampf
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Sommer
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Schlossen/Schloßen
1666-wessel-des-himmel-koenigs-wetter-geschuetze,1666_Barthold_Des_Himmelskönigs_Wetter-Geschütze.json,Wasser
1706-cuno-den-schnee-als,1706_Cuno_Den_Schnee.json,Wetter
1706-cuno-den-schnee-als,1706_Cuno_Den_Schnee.json,Schnee
1706-cuno-den-schnee-als,1706_Cuno_Den_Schnee.json,heiß
1706-cuno-den-schnee-als,1706_Cuno_Den_Schnee.json,Wasser
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Wetter
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Witterung/Gewitter
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Wind
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Finsternuß/Finsternis
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Regen/Blutregen/Regenbogen
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Frost
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Kälte
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Schnee
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Dürre
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Hagel
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Hitze
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Sturm
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Flut
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Herbst
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,kalt
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Schlossen/Schloßen
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Wasser
1720-pregitzer-das-von-gott,new_trans_1720_Pregitzer_Das_von_Gott_zwar_hart_gestraffte_und_gezüchtigte_[___]_Tübingen.json,Sonne
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Wetter
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Witterung/Gewitter
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Wind
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Finsternuß/Finsternis
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Regen/Blutregen/Regenbogen
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Frost
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Dürre
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Hagel
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Hitze
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Herbst
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Schlossen/Schloßen
1720-tafinger-der-ausbruch-goettlicher,new_trans_1720_Tafinger_Der_Ausbruch_göttlicher_Gerichte_in_dem_Tübingischen_fast_unerhörten_Wetter-Schaden.json,Wasser
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Wetter
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Witterung/Gewitter
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Wind
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Regen/Blutregen/Regenbogen
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Komet/Comet
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Frost
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Kälte
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Dürre
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Hagel
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Flut
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Sommer
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Wasser
1637-schilling-drey-christliche-thewrung,trans_1637_Schilling_Drey_Christliche_Thewrung.json,Sonne
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Wetter
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Witterung/Gewitter
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Wind
