SLUG,BIBLE CITATION,BOOK_EN,CHAPTER,VERSE,URL
1565-alber-eine-summa-etlicher,Rom. 8,romans,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/8/verses/1.json
1566-rorer-eine-predigt-von,Hiob am 37,job,37,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/37/verses/1.json
1566-rorer-eine-predigt-von,Hiob am 1,job,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/1/verses/1.json
1566-rorer-eine-predigt-von,Deut. am 18,deuteronomy,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/18/verses/1.json
1566-rorer-eine-predigt-von,Hiob 38,job,38,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/38/verses/1.json
1566-rorer-eine-predigt-von,Exodi am 9,exodus,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/exodus/chapters/9/verses/1.json
1566-rorer-eine-predigt-von,Exodi 20,exodus,20,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/exodus/chapters/20/verses/1.json
1566-rorer-eine-predigt-von,Matth. 22,matthew,22,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/22/verses/1.json
1566-rorer-eine-predigt-von,Hiob am 36,job,36,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/36/verses/1.json
1566-rorer-eine-predigt-von,7. Psal,psalms,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/7/verses/1.json
1566-rorer-eine-predigt-von,Mose im 9,genesis,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/genesis/chapters/9/verses/1.json
1566-rorer-eine-predigt-von,Deut. 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28/verses/1.json
1566-rorer-eine-predigt-von,Amos am 2,amos,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/2/verses/1.json
1566-rorer-eine-predigt-von,der 50. Psalm,psalms,50,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/50/verses/1.json
1566-rorer-eine-predigt-von,Johan 9,john,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/9/verses/1.json
1571-lavater-von-thuewre-vn,Deut. 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28/verses/1.json
1571-lavater-von-thuewre-vn,Amos am 4,amos,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/4/verses/1.json
1571-lavater-von-thuewre-vn,Reg. 8,1kings,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1kings/chapters/8/verses/1.json
1571-lavater-von-thuewre-vn,1. Timoth. 4,1timothy,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1timothy/chapters/4/verses/1.json
1571-lavater-von-thuewre-vn,Psalm. 105,psalms,105,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/105/verses/1.json
1571-lavater-von-thuewre-vn,Rom. 4,romans,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/4/verses/1.json
1571-lavater-von-thuewre-vn,1. Cor. 3,1corinthians,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1corinthians/chapters/3/verses/1.json
1571-lavater-von-thuewre-vn,Ezech. am 36,ezekiel,36,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/36/verses/1.json
1571-lavater-von-thuewre-vn,Psal. 115,psalms,115,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/115/verses/1.json
1571-lavater-von-thuewre-vn,Joelam 1,joel,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joel/chapters/1/verses/1.json
